,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
1720,261,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1779,320,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1781,322,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1842,383,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1844,385,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1905,446,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1907,448,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1971,512,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
1973,514,SlumDOGE Millionaire,True,2022-03-08 01:27:57+00:00,229,2200,215252,"[{'text': 'dogecoin', 'indices': [32, 41]}]",A lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to $1 dollar and I’m proud o… https://t.co/DxeCfcnrt0,['a lot of people didn’t sell any #dogecoin at 75 cents because we were making that push to 1 dollar and i’m proud o… httpstcodxecfcnrt0'],0.8,Positive,0.119,0.0,0.881,0.4767,Positive
2076,65,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
