,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"""Just recently I think #bitcoin is going to go to $100,000,"" said the Apple co-founder. #crypto #cryptocurrency $BTC https://t.co/yXVOGaZvNI",413,1755,2450132,True,10862,Sun Mar 13 00:33:32 +0000 2022,"[{'text': 'bitcoin', 'indices': [23, 31]}, {'text': 'crypto', 'indices': [88, 95]}, {'text': 'cryptocurrency', 'indices': [96, 111]}]",Bitcoin News
1,"""I got scared and I sold all my #bitcoin except one bitcoin,"" said the Apple co-founder. #crypto #cryptocurrency… https://t.co/FFxZLzLcWc",223,1063,2450132,True,10862,Sun Mar 13 09:33:34 +0000 2022,"[{'text': 'bitcoin', 'indices': [32, 40]}, {'text': 'crypto', 'indices': [89, 96]}, {'text': 'cryptocurrency', 'indices': [97, 112]}]",Bitcoin News
2,"""I have millions of dollars, 20% of my portfolio is now in #cryptocurrencies and #blockchain,"" said O'Leary.… https://t.co/iikvxZOjQw",272,987,2450132,True,10862,Sun Mar 13 02:33:17 +0000 2022,"[{'text': 'cryptocurrencies', 'indices': [59, 76]}, {'text': 'blockchain', 'indices': [81, 92]}]",Bitcoin News
3,"Daily Tech Update! 🚀
We're satisfied with our research and testing of #Chainlink and have started implementing it.… https://t.co/QWEMs4rNhz",70,158,249302,True,142,Sun Mar 13 06:20:35 +0000 2022,"[{'text': 'Chainlink', 'indices': [70, 80]}]",5ireChain
4,"Looking to learn about #bitcoin and #cryptocurrency? 👇🏼

https://t.co/5Ul1aFqlyG",25,68,610999,True,2268,Sun Mar 13 19:34:06 +0000 2022,"[{'text': 'bitcoin', 'indices': [23, 31]}, {'text': 'cryptocurrency', 'indices': [36, 51]}]",David Gokhshtein
5,"Name one #cryptocurrency you regret missing out on?

👇🏼👇🏼",44,292,610999,True,2268,Sun Mar 13 06:56:57 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [9, 24]}]",David Gokhshtein
0,"""Just recently I think #bitcoin is going to go to $100,000,"" said the Apple co-founder. #crypto #cryptocurrency $BTC https://t.co/yXVOGaZvNI",413,1755,2450132,True,10862,Sun Mar 13 00:33:32 +0000 2022,"[{'text': 'bitcoin', 'indices': [23, 31]}, {'text': 'crypto', 'indices': [88, 95]}, {'text': 'cryptocurrency', 'indices': [96, 111]}]",Bitcoin News
1,"""I got scared and I sold all my #bitcoin except one bitcoin,"" said the Apple co-founder. #crypto #cryptocurrency… https://t.co/FFxZLzLcWc",223,1063,2450132,True,10862,Sun Mar 13 09:33:34 +0000 2022,"[{'text': 'bitcoin', 'indices': [32, 40]}, {'text': 'crypto', 'indices': [89, 96]}, {'text': 'cryptocurrency', 'indices': [97, 112]}]",Bitcoin News
2,"""I have millions of dollars, 20% of my portfolio is now in #cryptocurrencies and #blockchain,"" said O'Leary.… https://t.co/iikvxZOjQw",272,987,2450132,True,10862,Sun Mar 13 02:33:17 +0000 2022,"[{'text': 'cryptocurrencies', 'indices': [59, 76]}, {'text': 'blockchain', 'indices': [81, 92]}]",Bitcoin News
3,"Daily Tech Update! 🚀
We're satisfied with our research and testing of #Chainlink and have started implementing it.… https://t.co/QWEMs4rNhz",70,158,249302,True,142,Sun Mar 13 06:20:35 +0000 2022,"[{'text': 'Chainlink', 'indices': [70, 80]}]",5ireChain
4,"Looking to learn about #bitcoin and #cryptocurrency? 👇🏼

https://t.co/5Ul1aFqlyG",25,68,610999,True,2268,Sun Mar 13 19:34:06 +0000 2022,"[{'text': 'bitcoin', 'indices': [23, 31]}, {'text': 'cryptocurrency', 'indices': [36, 51]}]",David Gokhshtein
5,"Name one #cryptocurrency you regret missing out on?

👇🏼👇🏼",44,292,610999,True,2268,Sun Mar 13 06:56:57 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [9, 24]}]",David Gokhshtein
6,"KunciCoin have teamed up with me to do a $5,000 #crypto giveaway that will end in 24 hours. 10 x $500 winners. 

To… https://t.co/cOsQv5qXCx",13150,4725,259179,True,464,Sun Mar 13 12:04:23 +0000 2022,"[{'text': 'crypto', 'indices': [48, 55]}]",Travladd Crypto
7,"As $POODL moves further into the #NFT &amp; #gaming spheres? We have made a brand new official #Discord server

To cele… https://t.co/FjA8jdebfx",5978,6581,124466,True,95,Sun Mar 13 20:23:11 +0000 2022,"[{'text': 'NFT', 'indices': [33, 37]}, {'text': 'gaming', 'indices': [44, 51]}, {'text': 'Discord', 'indices': [95, 103]}]",$POODL
8,"Have you participated in their ongoing Telegram #Contest yet?

Simply:
1️⃣ Follow 
@_UNIVERSEISLAND

 ✅ 
2️⃣ Join t… https://t.co/EyFFQXHzNn",1157,1167,1334473,True,603,Sun Mar 13 17:02:58 +0000 2022,"[{'text': 'Contest', 'indices': [48, 56]}]",Candela
9,"JUST IN: #Crypto exchange Gate io will stop operating in these countries: 

• United States 
• Bangladesh 
• Venezu… https://t.co/NFBL3QK8SA",946,3090,722198,True,1513,Sun Mar 13 13:58:08 +0000 2022,"[{'text': 'Crypto', 'indices': [9, 16]}]",Watcher.Guru
10,"IT TOOK 4 YEARS FOR ME TO MAKE £70K FROM THE £700 I INVESTED IN 2013

In 2018 i lost 100% of my #Crypto Portfolio f… https://t.co/RmzVRzNqkW",336,2826,253225,True,916,Sun Mar 13 10:25:34 +0000 2022,"[{'text': 'Crypto', 'indices': [96, 103]}]",That Martini Guy ₿
