,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,JUST IN: 🇧🇷 Brazil's central bank announces that it has chosen nine projects to create a central bank digital #cryptocurrency,332,1937,708056,True,1449,Fri Mar 04 11:53:43 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [110, 125]}]",Watcher.Guru
1,"Veteran investor and fund manager Bill Miller thinks it's currently ""very bullish for #bitcoin."" #cryptocurrency… https://t.co/y7RRMd50pF",202,763,2437101,True,10788,Fri Mar 04 02:31:26 +0000 2022,"[{'text': 'bitcoin', 'indices': [86, 94]}, {'text': 'cryptocurrency', 'indices': [97, 112]}]",Bitcoin News
2,"Russia has 22% in gold and that's ""the only part of their reserves which other countries can't control."" #crypto… https://t.co/kfegiUALGd",104,359,2437101,True,10788,Fri Mar 04 11:31:27 +0000 2022,"[{'text': 'crypto', 'indices': [105, 112]}]",Bitcoin News
3,"#Ukraine operates internationally thanks to #cryptocurrency donations, according to a high-ranking official in Kyiv. https://t.co/bBluSTwCHj",154,457,2437101,True,10788,Fri Mar 04 06:32:49 +0000 2022,"[{'text': 'Ukraine', 'indices': [0, 8]}, {'text': 'cryptocurrency', 'indices': [44, 59]}]",Bitcoin News
4,"#MiniDOGE just felt the heat for #BurnItDownFriday!

1,500,000 #Treasure was just burned! 🪙🔥

#LIKE &amp; #RETWEET if y… https://t.co/JIQiSfRfnZ",52,106,98357,True,53,Fri Mar 04 23:42:43 +0000 2022,"[{'text': 'MiniDOGE', 'indices': [0, 9]}, {'text': 'BurnItDownFriday', 'indices': [33, 50]}, {'text': 'Treasure', 'indices': [63, 72]}, {'text': 'LIKE', 'indices': [94, 99]}, {'text': 'RETWEET', 'indices': [106, 114]}]",MiniDOGE
5,Do you guys think .25 by the weekend? And another new #ATH @RoganInu  #fifteencents #cryptocurrency… https://t.co/tYCxunlYfT,49,225,7822,True,80,Fri Mar 04 00:52:32 +0000 2022,"[{'text': 'ATH', 'indices': [54, 58]}, {'text': 'fifteencents', 'indices': [70, 83]}, {'text': 'cryptocurrency', 'indices': [84, 99]}]",Ian Heinisch
6,"#BitMart Crypto Watch🔍Mar. 4

🤨While… 
The worldwide search interest for the keywords “metaverse” and “NFT” boomed… https://t.co/nePJWxGbCe",27,118,394469,True,687,Fri Mar 04 20:33:05 +0000 2022,"[{'text': 'BitMart', 'indices': [0, 8]}]",BitMart.Exchange
0,JUST IN: 🇧🇷 Brazil's central bank announces that it has chosen nine projects to create a central bank digital #cryptocurrency,332,1937,708056,True,1449,Fri Mar 04 11:53:43 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [110, 125]}]",Watcher.Guru
1,"Veteran investor and fund manager Bill Miller thinks it's currently ""very bullish for #bitcoin."" #cryptocurrency… https://t.co/y7RRMd50pF",202,763,2437101,True,10788,Fri Mar 04 02:31:26 +0000 2022,"[{'text': 'bitcoin', 'indices': [86, 94]}, {'text': 'cryptocurrency', 'indices': [97, 112]}]",Bitcoin News
2,"Russia has 22% in gold and that's ""the only part of their reserves which other countries can't control."" #crypto… https://t.co/kfegiUALGd",104,359,2437101,True,10788,Fri Mar 04 11:31:27 +0000 2022,"[{'text': 'crypto', 'indices': [105, 112]}]",Bitcoin News
