,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"“The good news is they are all over it and agree there is tremendous opportunity once they pass policy. Stay tuned,… https://t.co/mxYNM316h5",191,559,2437100,True,10788,Sun Mar 06 00:32:07 +0000 2022,[],Bitcoin News
1,"""Spent my day at the Senate with a bipartisan group of policymakers ... They are working on policy that will open t… https://t.co/RZRXqeVTUP",177,523,2437100,True,10788,Sun Mar 06 09:32:09 +0000 2022,[],Bitcoin News
2,Rich Dad Poor Dad author Robert Kiyosaki has given some advice on how to invest like a capitalist and profit from i… https://t.co/5csUylGU3n,260,542,2437100,True,10788,Sun Mar 06 11:33:00 +0000 2022,[],Bitcoin News
3,"Fashion নয়, #newoclan ‘ই future🚀 

Cryptocurrency is an unregulated digital asset and not a legal tender. All inve… https://t.co/RZDbmgzpJ7",122,593,1223040,True,538,Sun Mar 06 14:12:53 +0000 2022,"[{'text': 'newoclan', 'indices': [13, 22]}]",Dev
0,"“The good news is they are all over it and agree there is tremendous opportunity once they pass policy. Stay tuned,… https://t.co/mxYNM316h5",191,559,2437100,True,10788,Sun Mar 06 00:32:07 +0000 2022,[],Bitcoin News
1,"""Spent my day at the Senate with a bipartisan group of policymakers ... They are working on policy that will open t… https://t.co/RZRXqeVTUP",177,523,2437100,True,10788,Sun Mar 06 09:32:09 +0000 2022,[],Bitcoin News
2,Rich Dad Poor Dad author Robert Kiyosaki has given some advice on how to invest like a capitalist and profit from i… https://t.co/5csUylGU3n,260,542,2437100,True,10788,Sun Mar 06 11:33:00 +0000 2022,[],Bitcoin News
3,"Fashion নয়, #newoclan ‘ই future🚀 

Cryptocurrency is an unregulated digital asset and not a legal tender. All inve… https://t.co/RZDbmgzpJ7",122,593,1223040,True,538,Sun Mar 06 14:12:53 +0000 2022,"[{'text': 'newoclan', 'indices': [13, 22]}]",Dev
4,"@elonmusk I defeat traffic by working from home. 

With technologies like #augmentedreality? The office can come to… https://t.co/zfMI5oKLhZ",5268,5480,119323,True,90,Sun Mar 06 14:57:23 +0000 2022,"[{'text': 'augmentedreality', 'indices': [74, 91]}]",$POODL
5,"• Banks don’t like #crypto.
• Taxis don’t like Uber.
• Hotels don’t like Airbnb.
• Bookstores don’t like Amazon.
•… https://t.co/p6tKveVTMA",722,2574,404414,True,729,Sun Mar 06 16:07:09 +0000 2022,"[{'text': 'crypto', 'indices': [19, 26]}]",Mikey
6,What #crypto are you trading this weekend?,773,3058,1564890,True,6315,Sun Mar 06 10:58:28 +0000 2022,"[{'text': 'crypto', 'indices': [5, 12]}]",KUCOIN
7,"“The good news is they are all over it and agree there is tremendous opportunity once they pass policy. Stay tuned,… https://t.co/mxYNM316h5",191,559,2437100,True,10788,Sun Mar 06 00:32:07 +0000 2022,[],Bitcoin News
8,JUST IN: Louisiana has proposed a new bill that would allow #crypto donations to political campaigns.,192,1198,708058,True,1449,Sun Mar 06 11:29:03 +0000 2022,"[{'text': 'crypto', 'indices': [60, 67]}]",Watcher.Guru
9,"""Spent my day at the Senate with a bipartisan group of policymakers ... They are working on policy that will open t… https://t.co/RZRXqeVTUP",177,523,2437100,True,10788,Sun Mar 06 09:32:09 +0000 2022,[],Bitcoin News
10,Rich Dad Poor Dad author Robert Kiyosaki has given some advice on how to invest like a capitalist and profit from i… https://t.co/5csUylGU3n,260,542,2437100,True,10788,Sun Mar 06 11:33:00 +0000 2022,[],Bitcoin News
11,"JUST IN: China central bank says, “They’ll continue its crackdown on #crypto speculation.”",144,1242,708058,True,1449,Sun Mar 06 20:50:04 +0000 2022,"[{'text': 'crypto', 'indices': [69, 76]}]",Watcher.Guru
12,"Pick a #crypto team:

Team 🅰️              Team 🅱️
$AXS                     $MANA
$SOL                     $ETH… https://t.co/nrDpIlsxoP",127,897,1013020,True,3643,Sun Mar 06 19:09:34 +0000 2022,"[{'text': 'crypto', 'indices': [7, 14]}]",The Moon
13,"Sometimes the best thing you can do is to not do anything.

I’m the world of #Bitcoin and #crypto… this is probably one of those times.",81,605,820434,True,4070,Sun Mar 06 18:55:20 +0000 2022,"[{'text': 'Bitcoin', 'indices': [77, 85]}, {'text': 'crypto', 'indices': [90, 97]}]",Ben Armstrong
14,"Could the #crypto markets be on the cusp of a reversal? According to a recent Hedge Fund report, it could be the on… https://t.co/VKodPGWyp5",65,479,641824,True,4141,Sun Mar 06 16:09:46 +0000 2022,"[{'text': 'crypto', 'indices': [10, 17]}]",Coin Bureau (guy.eth)
0,"“The good news is they are all over it and agree there is tremendous opportunity once they pass policy. Stay tuned,… https://t.co/mxYNM316h5",191,559,2437100,True,10788,Sun Mar 06 00:32:07 +0000 2022,[],Bitcoin News
1,"""Spent my day at the Senate with a bipartisan group of policymakers ... They are working on policy that will open t… https://t.co/RZRXqeVTUP",177,523,2437100,True,10788,Sun Mar 06 09:32:09 +0000 2022,[],Bitcoin News
2,Rich Dad Poor Dad author Robert Kiyosaki has given some advice on how to invest like a capitalist and profit from i… https://t.co/5csUylGU3n,260,542,2437100,True,10788,Sun Mar 06 11:33:00 +0000 2022,[],Bitcoin News
