,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"No swindling here 🚀 😉 TinderSwindler Coin is live on PancakeSwap and gives you High-Yield rewards in $USDT.
KYC and… https://t.co/WFjtXeZU6D",438,460,1334464,True,600,Tue Mar 08 02:35:59 +0000 2022,[],Candela
1,"#catecoin🐱 app will support multiple languages

Chinese🇨🇳
Filipinos🇵🇭
Indonesian🇮🇩
Turkey🇹🇷
Korean🇰🇷
Portuguese🇧🇷
R… https://t.co/7LGuadBKuk",399,1171,82311,True,170,Tue Mar 08 00:16:23 +0000 2022,"[{'text': 'catecoin', 'indices': [0, 9]}]",CateCoin
2,The most undervalued #cryptocurrency is…… 👇🏼,464,2637,610961,True,2274,Tue Mar 08 03:41:44 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [21, 36]}]",David Gokhshtein
3,"Apple co-founder Steve Wozniak says #Bitcoin is the ""only one that's pure-gold mathematics."" #crypto… https://t.co/5o4XeJgt0L",179,655,2437100,True,10789,Tue Mar 08 03:02:35 +0000 2022,"[{'text': 'Bitcoin', 'indices': [36, 44]}, {'text': 'crypto', 'indices': [93, 100]}]",Bitcoin News
4,"JUST IN: AMC CEO @CEOAdam says in an interview that ""only time will tell how big #cryptocurrency is.""",181,1135,708061,True,1449,Tue Mar 08 06:42:54 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [81, 96]}]",Watcher.Guru
5,"JUST IN: 🇹🇭 Thailand Tourist Association is in discussions to allow alternative payment methods, including… https://t.co/KMiM6q78HW",198,978,708061,True,1449,Tue Mar 08 12:56:26 +0000 2022,[],Watcher.Guru
6,#Binance has reopened EUR and GBP deposits and withdrawals respectively via the SEPA payment network and Faster Pay… https://t.co/5XtnXwjQbM,86,276,2437100,True,10789,Tue Mar 08 07:02:12 +0000 2022,"[{'text': 'Binance', 'indices': [0, 8]}]",Bitcoin News
7,"“Now if Washington does not like you, they put sanctions on you and you cannot use U.S. dollars,” said Jim Rogers.… https://t.co/vP0sgsBuGB",95,303,2437100,True,10789,Tue Mar 08 10:02:19 +0000 2022,[],Bitcoin News
8,Our own @RickSchendel and Mark Quandahl will be speaking about #DigitalAssets at the Midwest International Trade As… https://t.co/d6i42rDQzA,146,454,93816,True,463,Tue Mar 08 13:30:24 +0000 2022,"[{'text': 'DigitalAssets', 'indices': [63, 77]}]",Telcoin
9,💕A Short #cryptocurrency Story: Happy #InternationalWomensDay2022👭,44,235,1003253,True,4467,Tue Mar 08 10:30:00 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [9, 24]}, {'text': 'InternationalWomensDay2022', 'indices': [38, 65]}]",Huobi
0,"No swindling here 🚀 😉 TinderSwindler Coin is live on PancakeSwap and gives you High-Yield rewards in $USDT.
KYC and… https://t.co/WFjtXeZU6D",438,460,1334464,True,600,Tue Mar 08 02:35:59 +0000 2022,[],Candela
1,"#catecoin🐱 app will support multiple languages

Chinese🇨🇳
Filipinos🇵🇭
Indonesian🇮🇩
Turkey🇹🇷
Korean🇰🇷
Portuguese🇧🇷
R… https://t.co/7LGuadBKuk",399,1171,82311,True,170,Tue Mar 08 00:16:23 +0000 2022,"[{'text': 'catecoin', 'indices': [0, 9]}]",CateCoin
2,The most undervalued #cryptocurrency is…… 👇🏼,464,2637,610961,True,2274,Tue Mar 08 03:41:44 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [21, 36]}]",David Gokhshtein
