,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,Where do you store your #cryptocurrency? 🔒💰,81,643,266890,True,1629,Wed Mar 09 21:46:57 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [24, 39]}]",Binance.US 🇺🇸
1,#Unicef to spend donated #cryptocurrency to finance humanitarian efforts amid war in #Ukraine. https://t.co/k6WIVOCtkQ,84,205,2437100,True,10789,Wed Mar 09 20:31:47 +0000 2022,"[{'text': 'Unicef', 'indices': [0, 7]}, {'text': 'cryptocurrency', 'indices': [25, 40]}, {'text': 'Ukraine', 'indices': [85, 93]}]",Bitcoin News
2,"COMING SOON!! An open world blockchain adventure game, explore Doge City and play with friends. Earn NFT's, play to… https://t.co/DCIYtwqHfG",35,84,98357,True,53,Wed Mar 09 22:51:55 +0000 2022,[],MiniDOGE
3,"President Joe Biden's executive order ""lays out a national policy for digital assets across six key priorities.”… https://t.co/sdoxOjAJEk",282,925,2437100,True,10789,Wed Mar 09 15:47:02 +0000 2022,[],Bitcoin News
4,"#BitMart Crypto Watch🔍Mar. 9

🤨Uh-oh,
🧐No credit for crypto — users react to Russia-issued credit card ban. Comment… https://t.co/uCfMiqHo4E",19,56,394470,True,687,Wed Mar 09 22:27:38 +0000 2022,"[{'text': 'BitMart', 'indices': [0, 8]}]",BitMart.Exchange
5,The United States didn’t drop the ball on #cryptocurrency. 👏🏻,247,1782,610961,True,2274,Wed Mar 09 14:27:31 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [42, 57]}]",David Gokhshtein
6,"""Poloniex has upheld the highest standard in safeguarding crypto assets for our clients with a proven track record… https://t.co/BdrgXXgssE",37,150,454816,True,3685,Wed Mar 09 20:41:57 +0000 2022,[],Poloniex Exchange
7,"We have another update to our research on #cyberattacks targeting #Ukraine, this time with a fake DDoS tool that in… https://t.co/Lln5c4JS6r",28,33,42196,True,1256,Wed Mar 09 19:38:13 +0000 2022,"[{'text': 'cyberattacks', 'indices': [42, 55]}, {'text': 'Ukraine', 'indices': [66, 74]}]",Cisco Talos Intelligence Group
8,Policymakers must “make a judgement whether the benefits outweigh the risks with regards to the use of… https://t.co/aVd36Tn4Ig,54,157,2437100,True,10789,Wed Mar 09 16:33:17 +0000 2022,[],Bitcoin News
9,I’m surprised that the statements that we are hearing out of D.C. are all positive on the #cryptocurrency front.… https://t.co/lRMk4ULZAi,404,606,610961,True,2274,Wed Mar 09 12:24:20 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [90, 105]}]",David Gokhshtein
10,"👀

#VerySoon™️ #Blockchain #VeChain #Stablecoin #DeFi #Web3 #Sustainability #Carbon #Cryptocurrency $VeUSD… https://t.co/i85uv66xOh",161,659,561558,True,2777,Wed Mar 09 12:04:29 +0000 2022,"[{'text': 'VerySoon', 'indices': [3, 12]}, {'text': 'Blockchain', 'indices': [15, 26]}, {'text': 'VeChain', 'indices': [27, 35]}, {'text': 'Stablecoin', 'indices': [36, 47]}, {'text': 'DeFi', 'indices': [48, 53]}, {'text': 'Web3', 'indices': [54, 59]}, {'text': 'Sustainability', 'indices': [60, 75]}, {'text': 'Carbon', 'indices': [76, 83]}, {'text': 'Cryptocurrency', 'indices': [84, 99]}]",VeChain Foundation
11,"Yellen’s statement on Biden’s E.O. on #cryptocurrency leaked. 

 https://t.co/QeHOjgFjXc",43,139,610961,True,2274,Wed Mar 09 03:49:32 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [38, 53]}]",David Gokhshtein
