,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"We are GIVING AWAY $1,000 as a mix of #NFT and $POODL #crypto starting tomorrow.

Join our #discord using the link… https://t.co/6H4MoRP5Ga",6215,6882,124467,True,95,Mon Mar 14 21:08:58 +0000 2022,"[{'text': 'NFT', 'indices': [38, 42]}, {'text': 'crypto', 'indices': [54, 61]}, {'text': 'discord', 'indices': [91, 99]}]",$POODL
1,"""The administration’s willingness to step up to this challenge and focus on the transformative power of #Web3 is en… https://t.co/Z3hQ5wOOx5",88,274,2450135,True,10862,Mon Mar 14 07:33:00 +0000 2022,"[{'text': 'Web3', 'indices': [104, 109]}]",Bitcoin News
2,"""#Bitcoin will be used by many Latin American countries as legal tender over time, not just El Salvador, but other… https://t.co/oEW4SI33X7",141,428,2450135,True,10862,Mon Mar 14 23:32:06 +0000 2022,"[{'text': 'Bitcoin', 'indices': [1, 9]}]",Bitcoin News
3,The EU parliament committee has voted against the proof-of-work (PoW) ban. #crypto #cryptocurrency #bitcoin $BTC https://t.co/mz9XB5DYhE,143,404,2450135,True,10862,Mon Mar 14 19:03:49 +0000 2022,"[{'text': 'crypto', 'indices': [75, 82]}, {'text': 'cryptocurrency', 'indices': [83, 98]}, {'text': 'bitcoin', 'indices': [99, 107]}]",Bitcoin News
4,"U.S. Senator Cory Booker stated that #Bitcoin and #cryptocurrency could bring growth to the American economy.

#bullish",73,331,611000,True,2268,Mon Mar 14 18:00:30 +0000 2022,"[{'text': 'Bitcoin', 'indices': [37, 45]}, {'text': 'cryptocurrency', 'indices': [50, 65]}, {'text': 'bullish', 'indices': [111, 119]}]",David Gokhshtein
5,"rt and like this one if you are truly a fan of #web3, #Bitcoin, or #cryptocurrency.",100,422,1010719,True,4504,Mon Mar 14 02:34:30 +0000 2022,"[{'text': 'web3', 'indices': [47, 52]}, {'text': 'Bitcoin', 'indices': [54, 62]}, {'text': 'cryptocurrency', 'indices': [67, 82]}]",Huobi
6,👋 Join us on March 18th 🗓 with @OhGodAGirl Technical Advisor for @ValkyrieFunds to discuss what asset managers need… https://t.co/27spyTSHSQ,77,273,1352516,True,4992,Mon Mar 14 23:30:03 +0000 2022,[],TRON DAO
7,"#Altcoins bounce off over 40% amid a series of optimistic news and events. $ZEC is up 46%📈, and $RUNE adds 43%📈. Le… https://t.co/5yHBJTMd9A",75,388,1584338,True,6369,Mon Mar 14 17:00:02 +0000 2022,"[{'text': 'Altcoins', 'indices': [0, 9]}]",KUCOIN
8,"Coming Soon: MiniPets, the game with rewards based on daily engagement in the game! Earn MiniDoge tokens by doing d… https://t.co/7O9KeQkOGv",53,113,98160,True,53,Mon Mar 14 22:30:22 +0000 2022,[],MiniDOGE
9,We ❤  #MiniDoge 🎤. #passiveincome #binance #crypto #cryptocurrency #blockchain #investment #cryptonews #business… https://t.co/p9mB0OPe7u,24,68,98160,True,53,Mon Mar 14 15:45:57 +0000 2022,"[{'text': 'MiniDoge', 'indices': [6, 15]}, {'text': 'passiveincome', 'indices': [19, 33]}, {'text': 'binance', 'indices': [34, 42]}, {'text': 'crypto', 'indices': [43, 50]}, {'text': 'cryptocurrency', 'indices': [51, 66]}, {'text': 'blockchain', 'indices': [67, 78]}, {'text': 'investment', 'indices': [79, 90]}, {'text': 'cryptonews', 'indices': [91, 102]}, {'text': 'business', 'indices': [103, 112]}]",MiniDOGE
0,"We are GIVING AWAY $1,000 as a mix of #NFT and $POODL #crypto starting tomorrow.

Join our #discord using the link… https://t.co/6H4MoRP5Ga",6215,6882,124467,True,95,Mon Mar 14 21:08:58 +0000 2022,"[{'text': 'NFT', 'indices': [38, 42]}, {'text': 'crypto', 'indices': [54, 61]}, {'text': 'discord', 'indices': [91, 99]}]",$POODL
1,"""The administration’s willingness to step up to this challenge and focus on the transformative power of #Web3 is en… https://t.co/Z3hQ5wOOx5",88,274,2450135,True,10862,Mon Mar 14 07:33:00 +0000 2022,"[{'text': 'Web3', 'indices': [104, 109]}]",Bitcoin News
2,"""#Bitcoin will be used by many Latin American countries as legal tender over time, not just El Salvador, but other… https://t.co/oEW4SI33X7",141,428,2450135,True,10862,Mon Mar 14 23:32:06 +0000 2022,"[{'text': 'Bitcoin', 'indices': [1, 9]}]",Bitcoin News
3,The EU parliament committee has voted against the proof-of-work (PoW) ban. #crypto #cryptocurrency #bitcoin $BTC https://t.co/mz9XB5DYhE,143,404,2450135,True,10862,Mon Mar 14 19:03:49 +0000 2022,"[{'text': 'crypto', 'indices': [75, 82]}, {'text': 'cryptocurrency', 'indices': [83, 98]}, {'text': 'bitcoin', 'indices': [99, 107]}]",Bitcoin News
4,"U.S. Senator Cory Booker stated that #Bitcoin and #cryptocurrency could bring growth to the American economy.

#bullish",73,331,611000,True,2268,Mon Mar 14 18:00:30 +0000 2022,"[{'text': 'Bitcoin', 'indices': [37, 45]}, {'text': 'cryptocurrency', 'indices': [50, 65]}, {'text': 'bullish', 'indices': [111, 119]}]",David Gokhshtein
5,"rt and like this one if you are truly a fan of #web3, #Bitcoin, or #cryptocurrency.",100,422,1010719,True,4504,Mon Mar 14 02:34:30 +0000 2022,"[{'text': 'web3', 'indices': [47, 52]}, {'text': 'Bitcoin', 'indices': [54, 62]}, {'text': 'cryptocurrency', 'indices': [67, 82]}]",Huobi
6,👋 Join us on March 18th 🗓 with @OhGodAGirl Technical Advisor for @ValkyrieFunds to discuss what asset managers need… https://t.co/27spyTSHSQ,77,273,1352516,True,4992,Mon Mar 14 23:30:03 +0000 2022,[],TRON DAO
7,"#Altcoins bounce off over 40% amid a series of optimistic news and events. $ZEC is up 46%📈, and $RUNE adds 43%📈. Le… https://t.co/5yHBJTMd9A",75,388,1584338,True,6369,Mon Mar 14 17:00:02 +0000 2022,"[{'text': 'Altcoins', 'indices': [0, 9]}]",KUCOIN
8,"Coming Soon: MiniPets, the game with rewards based on daily engagement in the game! Earn MiniDoge tokens by doing d… https://t.co/7O9KeQkOGv",53,113,98160,True,53,Mon Mar 14 22:30:22 +0000 2022,[],MiniDOGE
