,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"""It is an open ledger, trying to sneak lots of money through #crypto would be more traceable than using U.S. dollar… https://t.co/Jwb3jwFuNq",151,520,2437101,True,10788,Sat Mar 05 09:33:07 +0000 2022,"[{'text': 'crypto', 'indices': [61, 68]}]",Bitcoin News
1,"“The #crypto market today has a market capitalization of about $2 trillion in round numbers, which tells you that I… https://t.co/XgVK4OEjtP",87,245,2437101,True,10788,Sat Mar 05 12:03:14 +0000 2022,"[{'text': 'crypto', 'indices': [5, 12]}]",Bitcoin News
2,G7 countries and the EU are looking at ways to stop Russia from evading sanctions using #cryptocurrency. #crypto… https://t.co/wXEn4QFp8Z,95,245,2437101,True,10788,Sat Mar 05 13:33:29 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [88, 103]}, {'text': 'crypto', 'indices': [105, 112]}]",Bitcoin News
3,"JUST IN: 🇸🇬 Singapore has introduced sanctions against Russian Central Bank, #cryptocurrency transactions, and an export ban on electronics.",149,1043,708057,True,1449,Sat Mar 05 11:01:13 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [77, 92]}]",Watcher.Guru
4,Make sure you check in on your bros in the struggle you never know the impact of just checking on a bro. Also check… https://t.co/kz3Nph5gYX,45,149,7822,True,80,Sat Mar 05 14:45:25 +0000 2022,[],Ian Heinisch
5,I can not wait for the move to earn app. @YetiCoinEth #cryptocurrency https://t.co/DiIpxIDnBO,16,27,7822,True,80,Sat Mar 05 21:34:37 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [54, 69]}]",Ian Heinisch
0,"""It is an open ledger, trying to sneak lots of money through #crypto would be more traceable than using U.S. dollar… https://t.co/Jwb3jwFuNq",151,520,2437101,True,10788,Sat Mar 05 09:33:07 +0000 2022,"[{'text': 'crypto', 'indices': [61, 68]}]",Bitcoin News
1,"“The #crypto market today has a market capitalization of about $2 trillion in round numbers, which tells you that I… https://t.co/XgVK4OEjtP",87,245,2437101,True,10788,Sat Mar 05 12:03:14 +0000 2022,"[{'text': 'crypto', 'indices': [5, 12]}]",Bitcoin News
2,G7 countries and the EU are looking at ways to stop Russia from evading sanctions using #cryptocurrency. #crypto… https://t.co/wXEn4QFp8Z,95,245,2437101,True,10788,Sat Mar 05 13:33:29 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [88, 103]}, {'text': 'crypto', 'indices': [105, 112]}]",Bitcoin News
3,"JUST IN: 🇸🇬 Singapore has introduced sanctions against Russian Central Bank, #cryptocurrency transactions, and an export ban on electronics.",149,1043,708057,True,1449,Sat Mar 05 11:01:13 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [77, 92]}]",Watcher.Guru
4,Make sure you check in on your bros in the struggle you never know the impact of just checking on a bro. Also check… https://t.co/kz3Nph5gYX,45,149,7822,True,80,Sat Mar 05 14:45:25 +0000 2022,[],Ian Heinisch
5,I can not wait for the move to earn app. @YetiCoinEth #cryptocurrency https://t.co/DiIpxIDnBO,16,27,7822,True,80,Sat Mar 05 21:34:37 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [54, 69]}]",Ian Heinisch
6,"For many? #AugmentedReality is a new concept. Here? I clumsily show you why $POODL #NFTs are different. 

All our… https://t.co/1bYTknpFVb",9014,9278,119323,True,90,Sat Mar 05 00:31:13 +0000 2022,"[{'text': 'AugmentedReality', 'indices': [10, 27]}, {'text': 'NFTs', 'indices': [83, 88]}]",$POODL
7,"JUST IN: Deputy Minister of Ukraine says, ""We are able to operate internationally because of #Bitcoin and #crypto""",785,3411,708057,True,1449,Sat Mar 05 18:03:54 +0000 2022,"[{'text': 'Bitcoin', 'indices': [93, 101]}, {'text': 'crypto', 'indices': [106, 113]}]",Watcher.Guru
8,JUST IN: Virginia state has approved a bill that will allow banks to provide #crypto custody services.,426,2292,708057,True,1449,Sat Mar 05 10:22:52 +0000 2022,"[{'text': 'crypto', 'indices': [77, 84]}]",Watcher.Guru
9,"Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN",266,1776,1013020,True,3643,Sat Mar 05 16:55:01 +0000 2022,"[{'text': 'crypto', 'indices': [12, 19]}]",The Moon
10,Which #crypto are you trading this weekend? 👀,210,502,404177,True,1433,Sat Mar 05 01:00:00 +0000 2022,"[{'text': 'crypto', 'indices': [6, 13]}]",MEXC Global
11,"#Duetbigbang Day2: Create your #Duet Thread 🧵

Hi Dueters! Here comes today's #event to celebrate #Duet #mainnet la… https://t.co/sCVmJfDJfy",258,315,109970,True,95,Sat Mar 05 08:35:03 +0000 2022,"[{'text': 'Duetbigbang', 'indices': [0, 12]}, {'text': 'Duet', 'indices': [31, 36]}, {'text': 'event', 'indices': [78, 84]}, {'text': 'Duet', 'indices': [98, 103]}, {'text': 'mainnet', 'indices': [104, 112]}]",Duet
12,"Justin Bieber’s listing agent just sold a mansion for $18.5 million in #Bitcoin!

Would you buy a house with #crypto?",166,1477,1013020,True,3643,Sat Mar 05 09:47:06 +0000 2022,"[{'text': 'Bitcoin', 'indices': [71, 79]}, {'text': 'crypto', 'indices': [109, 116]}]",The Moon
13,"🔥@luckyblockcoin Merch is LIVE!🎉
 
Hoodies, t-shirts and more, don’t miss your chance to gear up in the Lucky Block… https://t.co/cF0i2A3z6A",88,94,162410,True,188,Sat Mar 05 17:31:07 +0000 2022,[],Juan
14,How many people came into #crypto because of $DOGE?,148,1536,610961,True,2274,Sat Mar 05 13:43:06 +0000 2022,"[{'text': 'crypto', 'indices': [26, 33]}]",David Gokhshtein
15,"""It is an open ledger, trying to sneak lots of money through #crypto would be more traceable than using U.S. dollar… https://t.co/Jwb3jwFuNq",151,520,2437101,True,10788,Sat Mar 05 09:33:07 +0000 2022,"[{'text': 'crypto', 'indices': [61, 68]}]",Bitcoin News
16,"“The #crypto market today has a market capitalization of about $2 trillion in round numbers, which tells you that I… https://t.co/XgVK4OEjtP",87,245,2437101,True,10788,Sat Mar 05 12:03:14 +0000 2022,"[{'text': 'crypto', 'indices': [5, 12]}]",Bitcoin News
17,"Shake Shack says participants will get 15% of their purchase back in the form of #bitcoin, and the #crypto promotio… https://t.co/ut8jAbzRSc",90,267,2437101,True,10788,Sat Mar 05 16:34:04 +0000 2022,"[{'text': 'bitcoin', 'indices': [81, 89]}, {'text': 'crypto', 'indices': [99, 106]}]",Bitcoin News
18,"Litecoin is the third most active #blockchain network in the world. 

#Litecoin on-chain transaction volume in the… https://t.co/fgsrQb8nGy",120,469,927299,True,4743,Sat Mar 05 17:55:29 +0000 2022,"[{'text': 'blockchain', 'indices': [34, 45]}, {'text': 'Litecoin', 'indices': [70, 79]}]",Litecoin
0,"""It is an open ledger, trying to sneak lots of money through #crypto would be more traceable than using U.S. dollar… https://t.co/Jwb3jwFuNq",151,520,2437101,True,10788,Sat Mar 05 09:33:07 +0000 2022,"[{'text': 'crypto', 'indices': [61, 68]}]",Bitcoin News
1,"“The #crypto market today has a market capitalization of about $2 trillion in round numbers, which tells you that I… https://t.co/XgVK4OEjtP",87,245,2437101,True,10788,Sat Mar 05 12:03:14 +0000 2022,"[{'text': 'crypto', 'indices': [5, 12]}]",Bitcoin News
2,G7 countries and the EU are looking at ways to stop Russia from evading sanctions using #cryptocurrency. #crypto… https://t.co/wXEn4QFp8Z,95,245,2437101,True,10788,Sat Mar 05 13:33:29 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [88, 103]}, {'text': 'crypto', 'indices': [105, 112]}]",Bitcoin News
3,"JUST IN: 🇸🇬 Singapore has introduced sanctions against Russian Central Bank, #cryptocurrency transactions, and an export ban on electronics.",149,1043,708057,True,1449,Sat Mar 05 11:01:13 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [77, 92]}]",Watcher.Guru
4,Make sure you check in on your bros in the struggle you never know the impact of just checking on a bro. Also check… https://t.co/kz3Nph5gYX,45,149,7822,True,80,Sat Mar 05 14:45:25 +0000 2022,[],Ian Heinisch
5,I can not wait for the move to earn app. @YetiCoinEth #cryptocurrency https://t.co/DiIpxIDnBO,16,27,7822,True,80,Sat Mar 05 21:34:37 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [54, 69]}]",Ian Heinisch
6,"For many? #AugmentedReality is a new concept. Here? I clumsily show you why $POODL #NFTs are different. 

All our… https://t.co/1bYTknpFVb",9014,9278,119323,True,90,Sat Mar 05 00:31:13 +0000 2022,"[{'text': 'AugmentedReality', 'indices': [10, 27]}, {'text': 'NFTs', 'indices': [83, 88]}]",$POODL
7,"JUST IN: Deputy Minister of Ukraine says, ""We are able to operate internationally because of #Bitcoin and #crypto""",785,3411,708057,True,1449,Sat Mar 05 18:03:54 +0000 2022,"[{'text': 'Bitcoin', 'indices': [93, 101]}, {'text': 'crypto', 'indices': [106, 113]}]",Watcher.Guru
8,JUST IN: Virginia state has approved a bill that will allow banks to provide #crypto custody services.,426,2292,708057,True,1449,Sat Mar 05 10:22:52 +0000 2022,"[{'text': 'crypto', 'indices': [77, 84]}]",Watcher.Guru
9,"Choose your #crypto team:

Team 🅰️           Team 🅱️
$BTC                    $ETH
$MANA                $SAND
$DOGE… https://t.co/fA0JvaEavN",266,1776,1013020,True,3643,Sat Mar 05 16:55:01 +0000 2022,"[{'text': 'crypto', 'indices': [12, 19]}]",The Moon
10,Which #crypto are you trading this weekend? 👀,210,502,404177,True,1433,Sat Mar 05 01:00:00 +0000 2022,"[{'text': 'crypto', 'indices': [6, 13]}]",MEXC Global
11,"#Duetbigbang Day2: Create your #Duet Thread 🧵

Hi Dueters! Here comes today's #event to celebrate #Duet #mainnet la… https://t.co/sCVmJfDJfy",258,315,109970,True,95,Sat Mar 05 08:35:03 +0000 2022,"[{'text': 'Duetbigbang', 'indices': [0, 12]}, {'text': 'Duet', 'indices': [31, 36]}, {'text': 'event', 'indices': [78, 84]}, {'text': 'Duet', 'indices': [98, 103]}, {'text': 'mainnet', 'indices': [104, 112]}]",Duet
12,"Justin Bieber’s listing agent just sold a mansion for $18.5 million in #Bitcoin!

Would you buy a house with #crypto?",166,1477,1013020,True,3643,Sat Mar 05 09:47:06 +0000 2022,"[{'text': 'Bitcoin', 'indices': [71, 79]}, {'text': 'crypto', 'indices': [109, 116]}]",The Moon
