,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"We are ready...
Are you? 

The clock is ticking! 🕐 Just over a week until FEG (https://t.co/3UiQAAsry3) gets to sho… https://t.co/P47J7RlFRK",1025,2703,395149,True,570,Mon Mar 07 19:02:53 +0000 2022,[],FEG (Feed Every Gorilla)
1,JUST IN: President Joe Biden to sign an executive order this week related to #Bitcoin &amp; #cryptocurrency.,748,4740,708059,True,1449,Mon Mar 07 20:54:59 +0000 2022,"[{'text': 'Bitcoin', 'indices': [77, 85]}, {'text': 'cryptocurrency', 'indices': [92, 107]}]",Watcher.Guru
2,JUST IN: The State of Florida has passed a bill to clarify state law and financial regulations regarding #Bitcoin &amp; #cryptocurrency,223,1245,708059,True,1449,Mon Mar 07 21:17:20 +0000 2022,"[{'text': 'Bitcoin', 'indices': [105, 113]}, {'text': 'cryptocurrency', 'indices': [120, 135]}]",Watcher.Guru
3,Educate yourself on #cryptocurrency and you won’t be worried when these bearish accounts try to scared the sh*t out of you.,89,407,610961,True,2274,Mon Mar 07 13:51:08 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [20, 35]}]",David Gokhshtein
4,"“We've got some work to do here from a regulatory perspective. We got to get the markets to calm down a little bit,… https://t.co/5fL8GqPB3L",83,217,2437100,True,10788,Mon Mar 07 09:33:24 +0000 2022,[],Bitcoin News
5,The Ukrainian government announces that $50 million in #cryptocurrency was raised within a week since Russia began… https://t.co/IxTM0Y3FyW,117,369,2437100,True,10788,Mon Mar 07 07:32:35 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [55, 70]}]",Bitcoin News
6,"""Could #bitcoin get to half a million dollars a coin? I believe it will,"" said the Skybridge Capital founder.… https://t.co/BcSB6njgRY",181,526,2437100,True,10788,Mon Mar 07 00:33:21 +0000 2022,"[{'text': 'bitcoin', 'indices': [7, 15]}]",Bitcoin News
7,"Here’s facts. 

#cryptocurrency is a global thing. 

That’s all.",51,287,610961,True,2274,Mon Mar 07 19:38:05 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [16, 31]}]",David Gokhshtein
8,"#Crypto slips with $LUNA down 7%📉, $FTM losing 32% 📉 and #Bitcoin sliding to💲37,990. 

What's causing this downward… https://t.co/WhuYY3PGPy",58,256,1564890,True,6315,Mon Mar 07 15:00:00 +0000 2022,"[{'text': 'Crypto', 'indices': [0, 7]}, {'text': 'Bitcoin', 'indices': [57, 65]}]",KUCOIN
9,"Market going down based on Biden’s announcement on #cryptocurrency, which is expected to happen this week. 

Have y… https://t.co/0Feh4iybrh",45,408,610961,True,2274,Mon Mar 07 19:36:46 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [51, 66]}]",David Gokhshtein
