,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"“I still own &amp; won’t sell my #bitcoin, #ethereum or #doge,” Elon Musk said. #crypto #cryptocurrency #dogecoin $BTC https://t.co/K26s7aluY0",329,1192,2450135,True,10862,Tue Mar 15 01:31:55 +0000 2022,"[{'text': 'bitcoin', 'indices': [33, 41]}, {'text': 'ethereum', 'indices': [43, 52]}, {'text': 'doge', 'indices': [56, 61]}, {'text': 'crypto', 'indices': [80, 87]}, {'text': 'cryptocurrency', 'indices': [88, 103]}, {'text': 'dogecoin', 'indices': [104, 113]}]",Bitcoin News
1,The Skybridge Capital founder recently doubled down on his #bitcoin price prediction of $100K. He also believes tha… https://t.co/qTc7UgiLqE,99,269,2450135,True,10862,Tue Mar 15 08:32:08 +0000 2022,"[{'text': 'bitcoin', 'indices': [59, 67]}]",Bitcoin News
2,Elon Musk says #Tesla and #SpaceX are seeing significant inflation pressure in raw materials and logistics. #crypto… https://t.co/S8cvDbC1tv,124,586,2450135,True,10862,Tue Mar 15 10:31:58 +0000 2022,"[{'text': 'Tesla', 'indices': [15, 21]}, {'text': 'SpaceX', 'indices': [26, 33]}, {'text': 'crypto', 'indices': [108, 115]}]",Bitcoin News
3,"#Cryptocurrency exchange platform #Binance, one of the world's largest, said Tuesday it had been granted an operati… https://t.co/AoLjvlt4pR",37,111,36200,True,252,Tue Mar 15 12:22:40 +0000 2022,"[{'text': 'Cryptocurrency', 'indices': [0, 15]}, {'text': 'Binance', 'indices': [34, 42]}]",KUWAIT TIMES
4,"#BitMart Crypto Watch🔍Mar. 15

🥳Wow..
According to a recent job posting, Visa seeks new college grads for Crypto De… https://t.co/FF3u2Cd9EP",34,93,398471,True,702,Tue Mar 15 18:47:22 +0000 2022,"[{'text': 'BitMart', 'indices': [0, 8]}]",BitMart.Exchange
5,NEWS UPDATE: U.S. Senator Cynthia Lummis's #Bitcoin bill that seeks to overhaul how #cryptocurrency can be taxed wi… https://t.co/z2bXLqRU8z,17,62,67747,True,160,Tue Mar 15 00:13:18 +0000 2022,"[{'text': 'Bitcoin', 'indices': [43, 51]}, {'text': 'cryptocurrency', 'indices': [84, 99]}]",🥷 Gokhshtein Media
6,"Learn about the future of #Cryptocurrency in India with @Manisha3005, @devrishav9, @avinash_shekhar &amp;… https://t.co/LojujmP9DD",45,689,1028765,True,2001,Tue Mar 15 14:02:56 +0000 2022,"[{'text': 'Cryptocurrency', 'indices': [26, 41]}]",CNBC-TV18
7,"What are you trading today? 😃

Keep up to date with the market 👇
https://t.co/3KYfA3roaj

#Phemex #tuesdaytrend… https://t.co/qALR7BPe6m",45,106,498233,True,447,Tue Mar 15 08:10:01 +0000 2022,"[{'text': 'Phemex', 'indices': [90, 97]}, {'text': 'tuesdaytrend', 'indices': [98, 111]}]",Phemex
8,"Elon Musk said that he does not have any plans to sell any of his #cryptocurrency holdings including #Bitcoin,… https://t.co/1eBDur3VA3",32,82,42861,True,449,Tue Mar 15 10:50:59 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [66, 81]}, {'text': 'Bitcoin', 'indices': [101, 109]}]",Express Technology
0,"“I still own &amp; won’t sell my #bitcoin, #ethereum or #doge,” Elon Musk said. #crypto #cryptocurrency #dogecoin $BTC https://t.co/K26s7aluY0",329,1192,2450135,True,10862,Tue Mar 15 01:31:55 +0000 2022,"[{'text': 'bitcoin', 'indices': [33, 41]}, {'text': 'ethereum', 'indices': [43, 52]}, {'text': 'doge', 'indices': [56, 61]}, {'text': 'crypto', 'indices': [80, 87]}, {'text': 'cryptocurrency', 'indices': [88, 103]}, {'text': 'dogecoin', 'indices': [104, 113]}]",Bitcoin News
1,The Skybridge Capital founder recently doubled down on his #bitcoin price prediction of $100K. He also believes tha… https://t.co/qTc7UgiLqE,99,269,2450135,True,10862,Tue Mar 15 08:32:08 +0000 2022,"[{'text': 'bitcoin', 'indices': [59, 67]}]",Bitcoin News
2,Elon Musk says #Tesla and #SpaceX are seeing significant inflation pressure in raw materials and logistics. #crypto… https://t.co/S8cvDbC1tv,124,586,2450135,True,10862,Tue Mar 15 10:31:58 +0000 2022,"[{'text': 'Tesla', 'indices': [15, 21]}, {'text': 'SpaceX', 'indices': [26, 33]}, {'text': 'crypto', 'indices': [108, 115]}]",Bitcoin News
