,text,retweet_count,favorite_count,followers_count,verified,listed_count,created_at,hashtags,name
0,"Calling all SPORTS FANS!🏈 🏀🏒

@DFSMAFIA99 IS BRINGING CRYPTO INNOVATION TO THE WORLD OF FANTASY SPORTS! 

CA: 0x5DB… https://t.co/Rgk2QYwLk7",1486,2013,114548,True,207,Sat Mar 12 15:24:49 +0000 2022,[],CRYPTO GIRL
1,"AMC Theatres has integrated with Bitpay to accept #cryptocurrencies, including #dogecoin and #shibainu. #crypto… https://t.co/gV7Y4V8xzY",357,1130,2450129,True,10862,Sat Mar 12 11:33:45 +0000 2022,"[{'text': 'cryptocurrencies', 'indices': [50, 67]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'shibainu', 'indices': [93, 102]}, {'text': 'crypto', 'indices': [104, 111]}]",Bitcoin News
2,AMC theatres now accepts #Dogecoin and #ShibaInu payments. #crypto #cryptocurrency $DOGE $SHIB https://t.co/HyaoYibJeO,517,1663,2450129,True,10862,Sat Mar 12 02:33:44 +0000 2022,"[{'text': 'Dogecoin', 'indices': [25, 34]}, {'text': 'ShibaInu', 'indices': [39, 48]}, {'text': 'crypto', 'indices': [59, 66]}, {'text': 'cryptocurrency', 'indices': [67, 82]}]",Bitcoin News
3,"What’s the first #cryptocurrency you bought?

👇🏼👇🏼👇🏼👇🏼👇🏼",197,1222,610999,True,2268,Sat Mar 12 17:17:00 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [17, 32]}]",David Gokhshtein
4,Get into the lifeboats! Here it comes.  Understand what a dollar crash means and MOST IMPORTANTLY what #potus #EO o… https://t.co/RrmlF2GEu2,131,270,1397342,True,14676,Sat Mar 12 12:56:39 +0000 2022,"[{'text': 'potus', 'indices': [103, 109]}, {'text': 'EO', 'indices': [110, 113]}]",Glenn Beck
5,"Payment giant Stripe has brought back #cryptocurrency support after 4 years. The company now says, ""#crypto is goin… https://t.co/4bXFoVPdR0",106,302,2450129,True,10862,Sat Mar 12 22:32:47 +0000 2022,"[{'text': 'cryptocurrency', 'indices': [38, 53]}, {'text': 'crypto', 'indices': [100, 107]}]",Bitcoin News
6,"Hey #vergefam did you know?

 #XVG is available to be purchased with a #creditcard on @binance along with many othe… https://t.co/J69b1FIoMq",53,161,335813,True,2070,Sat Mar 12 22:28:55 +0000 2022,"[{'text': 'vergefam', 'indices': [4, 13]}, {'text': 'XVG', 'indices': [30, 34]}, {'text': 'creditcard', 'indices': [71, 82]}]",VergeCurrency
7,"Daily Tech Update! 🚀
We're #testing our c++ and c# #APIs. 🔥

Join Us Here For Everything #5ire ⤵⤵… https://t.co/IkYe9BxFIq",69,156,249302,True,142,Sat Mar 12 08:54:48 +0000 2022,"[{'text': 'testing', 'indices': [27, 35]}, {'text': 'APIs', 'indices': [51, 56]}, {'text': '5ire', 'indices': [89, 94]}]",5ireChain
8,"🤣It’s apparent there’s no need for daylight saving in the world of crypto.

⏰Still, #DaylightSavingTime begins at 2… https://t.co/tYC5GpY4hD",28,109,398469,True,702,Sat Mar 12 20:41:32 +0000 2022,"[{'text': 'DaylightSavingTime', 'indices': [84, 103]}]",BitMart.Exchange
9,"#nano on @kalkineau (hello, #NanoCommunity in Australia 🇦🇺!)

Main features of nano:

🪶 Lightweight 
🥬 Eco-friendly… https://t.co/3fOXfneCn3",21,112,151305,True,1363,Sat Mar 12 17:02:01 +0000 2022,"[{'text': 'nano', 'indices': [0, 5]}, {'text': 'NanoCommunity', 'indices': [28, 42]}]",Nano
0,"Calling all SPORTS FANS!🏈 🏀🏒

@DFSMAFIA99 IS BRINGING CRYPTO INNOVATION TO THE WORLD OF FANTASY SPORTS! 

CA: 0x5DB… https://t.co/Rgk2QYwLk7",1486,2013,114548,True,207,Sat Mar 12 15:24:49 +0000 2022,[],CRYPTO GIRL
