time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1649044800,46160.6,45851.59,46016.88,514.8,23690233.77,46086.5,direct,
1649048400,46250.76,46044.47,46086.5,316.06,14595335.94,46237.54,direct,
1649052000,46295.15,46172.17,46237.54,351.52,16250450.03,46215.82,direct,
1649055600,46230.71,46101.36,46215.82,609.11,28113688.05,46177.57,direct,
1649059200,46294.24,45965.99,46177.57,1004.76,46325125.34,46154.91,direct,
1649062800,46160.1,45878.38,46154.91,689.71,31723150.3,45919.5,direct,
1649066400,46052.5,45804.85,45919.5,686.61,31537865.35,45992.88,direct,
1649070000,46197.24,45934.8,45992.88,609.96,28130435.2,46165.37,direct,
1649073600,46256.11,45921.99,46165.37,614.51,28326724.27,46008.03,direct,
1649077200,46240.97,45882.57,46008.03,854.66,39390765.41,46185.3,direct,
1649080800,46362.23,45889.84,46185.3,978.79,45137759.48,45907.79,direct,
1649084400,45969.87,45571.98,45907.79,2067.85,94499758.11,45640.3,direct,
1649088000,45816.43,45586.28,45640.3,1103.89,50465833.62,45710.9,direct,
1649091600,45774.29,45186.79,45710.9,1673.19,76081246.94,45382.25,direct,
1649095200,45540.3,45136.03,45382.25,1119.41,50735204.01,45525.0,direct,
1649098800,45958.82,45523.44,45525.0,1048.25,48016671.83,45945.43,direct,
1649102400,46383.31,45738.18,45945.43,1565.35,72170980.96,46314.02,direct,
1649106000,46590.09,46184.58,46314.02,1553.5,72180523.91,46479.18,direct,
1649109600,46856.96,46389.11,46479.18,1396.42,65114065.28,46708.91,direct,
1649113200,46893.71,46545.91,46708.91,1562.37,72941310.54,46609.36,direct,
1649116800,46654.85,46433.88,46609.36,798.03,37145888.55,46521.83,direct,
1649120400,46689.19,46469.26,46521.83,425.45,19816079.81,46645.73,direct,
1649124000,46746.92,46564.42,46645.73,379.02,17679991.97,46637.41,direct,
1649127600,46776.74,46603.46,46637.41,464.77,21688768.28,46653.72,direct,
1649131200,46878.98,46627.32,46653.72,630.53,29488712.01,46778.01,direct,
