time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1649044800,136.29,134.9,135.37,43336.42,5876597.11,135.41,direct,
1649048400,136.64,135.07,135.41,37495.38,5098882.69,136.06,direct,
1649052000,136.67,135.8,136.06,26329.28,3584392.3,136.39,direct,
1649055600,138.28,135.9,136.39,78936.47,10815422.6,137.0,direct,
1649059200,137.87,135.87,137.0,69667.55,9516138.58,136.54,direct,
1649062800,136.95,135.1,136.54,50762.26,6901564.62,135.39,direct,
1649066400,135.51,133.13,135.39,118124.72,15858986.74,134.07,direct,
1649070000,135.32,133.69,134.07,82771.43,11144678.73,134.76,direct,
1649073600,135.49,132.56,134.76,98643.28,13226649.89,132.96,direct,
1649077200,133.38,131.07,132.96,167800.9,22223882.83,132.97,direct,
1649080800,133.7,131.24,132.97,134752.54,17856399.57,131.45,direct,
1649084400,131.81,128.46,131.45,260380.57,33795038.85,129.31,direct,
1649088000,130.72,128.66,129.31,149667.51,19411493.57,129.98,direct,
1649091600,130.24,125.91,129.98,213213.84,27246997.62,127.52,direct,
1649095200,129.28,126.2,127.52,158685.26,20273147.36,128.97,direct,
1649098800,131.67,128.88,128.97,214354.0,27956856.14,130.11,direct,
1649102400,131.93,129.07,130.11,190735.13,24872281.59,130.81,direct,
1649106000,131.46,130.25,130.81,91345.55,11967064.12,131.38,direct,
1649109600,132.83,130.18,131.38,191223.08,25131785.94,132.21,direct,
1649113200,133.09,131.97,132.21,123772.78,16396764.77,132.13,direct,
1649116800,132.53,130.24,132.13,97081.85,12755527.24,130.31,direct,
1649120400,132.01,129.79,130.31,61662.88,8075651.47,131.8,direct,
1649124000,132.59,131.78,131.8,33533.28,4431938.39,131.87,direct,
1649127600,133.97,131.83,131.87,71487.37,9523058.47,133.4,direct,
1649131200,133.93,132.96,133.4,47087.83,6282078.73,133.49,direct,
