,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1648496880,48047.48,48011.17,48043.44,17.72,851211.85,48011.17,direct,
1,1648496940,48039.6,48003.17,48011.17,19.12,918414.58,48039.6,direct,
2,1648497000,48041.14,47927.57,48039.6,61.21,2936241.8,47932.15,direct,
3,1648497060,47968.84,47924.06,47932.15,16.85,808049.46,47959.57,direct,
4,1648497120,47966.83,47770.6,47959.57,241.34,11537989.38,47771.46,direct,
5,1648497180,47874.08,47745.91,47771.46,71.38,3412535.47,47868.12,direct,
6,1648497240,47902.03,47834.52,47868.12,30.11,1441064.95,47895.26,direct,
7,1648497300,47895.26,47867.69,47895.26,21.02,1006397.46,47889.61,direct,
8,1648497360,47942.23,47889.61,47889.61,33.33,1596493.92,47937.64,direct,
9,1648497420,47972.79,47900.3,47937.64,52.94,2537151.25,47911.99,direct,
10,1648497480,47916.14,47878.25,47911.99,32.57,1559829.11,47886.82,direct,
11,1648497540,47984.75,47886.82,47886.82,62.79,3009953.87,47968.84,direct,
12,1648497600,47973.2,47917.41,47968.84,28.75,1378125.42,47928.98,direct,
13,1648497660,47928.98,47890.33,47928.98,22.95,1099297.44,47921.26,direct,
14,1648497720,48030.94,47919.17,47921.26,77.65,3726878.58,47995.63,direct,
15,1648497780,48018.12,47978.14,47995.63,17.67,847877.7,47981.5,direct,
16,1648497840,47982.07,47957.94,47981.5,16.36,784833.36,47957.94,direct,
17,1648497900,47957.94,47922.28,47957.94,9.768,468166.3,47922.28,direct,
18,1648497960,47922.28,47896.91,47922.28,15.75,754571.02,47907.8,direct,
19,1648498020,47907.8,47895.21,47907.8,10.02,480005.34,47901.64,direct,
20,1648498080,47905.01,47871.79,47901.64,19.24,921266.55,47871.79,direct,
21,1648498140,47899.66,47861.09,47871.79,15.84,758400.18,47899.49,direct,
22,1648498200,47918.44,47880.71,47899.49,14.11,675745.27,47914.63,direct,
23,1648498260,47922.16,47876.38,47914.63,32.83,1572169.54,47893.61,direct,
24,1648498320,47920.95,47891.04,47893.61,14.46,693039.97,47918.97,direct,
25,1648498380,47924.64,47914.75,47918.97,8.028,384822.94,47915.52,direct,
26,1648498440,47916.16,47869.45,47915.52,18.17,870183.95,47873.14,direct,
27,1648498500,47919.63,47868.77,47873.14,22.33,1069706.61,47918.33,direct,
28,1648498560,47919.72,47853.96,47918.33,22.39,1072214.8,47857.24,direct,
29,1648498620,47865.57,47833.39,47857.24,18.11,866259.23,47836.9,direct,
30,1648498680,47871.81,47835.29,47836.9,14.16,677708.17,47869.21,direct,
31,1648498740,47873.86,47863.98,47869.21,6.385,305691.31,47872.27,direct,
32,1648498800,47916.33,47861.16,47872.27,17.76,850145.0,47916.33,direct,
33,1648498860,47917.24,47904.94,47916.33,9.023,432350.5,47908.49,direct,
34,1648498920,47908.8,47889.43,47908.49,4.933,236300.84,47893.18,direct,
35,1648498980,47916.81,47893.18,47893.18,9.315,446356.94,47907.95,direct,
36,1648499040,47940.06,47907.89,47907.95,27.23,1305272.89,47921.34,direct,
37,1648499100,47924.97,47896.1,47921.34,9.406,450723.14,47903.57,direct,
38,1648499160,47904.34,47896.76,47903.57,4.625,221585.36,47898.82,direct,
39,1648499220,47903.04,47864.96,47898.82,15.87,759992.01,47867.57,direct,
40,1648499280,47868.82,47857.08,47867.57,7.352,351924.9,47857.39,direct,
41,1648499340,47864.22,47849.25,47857.39,11.57,553777.27,47849.93,direct,
42,1648499400,47898.85,47847.97,47849.93,14.67,702380.93,47894.47,direct,
43,1648499460,47919.17,47894.47,47894.47,12.95,620449.62,47909.12,direct,
44,1648499520,47911.53,47894.79,47909.12,9.106,436352.19,47909.64,direct,
45,1648499580,47932.96,47907.21,47909.64,11.67,559388.9,47921.35,direct,
46,1648499640,47927.38,47909.84,47921.35,10.76,515557.14,47923.32,direct,
47,1648499700,47923.32,47908.69,47923.32,4.498,215563.88,47914.5,direct,
48,1648499760,47945.82,47910.14,47914.5,11.45,548706.38,47945.08,direct,
49,1648499820,47947.58,47931.02,47945.08,9.518,456395.22,47945.4,direct,
50,1648499880,47955.55,47945.4,47945.4,17.24,826924.49,47947.98,direct,
51,1648499940,47950.68,47930.79,47947.98,6.89,330369.19,47930.79,direct,
52,1648500000,47958.38,47926.23,47930.79,13.0,623594.13,47957.08,direct,
53,1648500060,47960.25,47938.23,47957.08,11.27,540278.12,47940.87,direct,
54,1648500120,47944.62,47928.81,47940.87,10.08,483512.55,47943.34,direct,
55,1648500180,47947.04,47933.73,47943.34,10.11,484815.82,47933.73,direct,
56,1648500240,47935.94,47914.53,47933.73,15.76,755416.98,47922.47,direct,
57,1648500300,47937.89,47919.01,47922.47,7.417,355532.89,47936.5,direct,
58,1648500360,47957.04,47934.72,47936.5,5.691,272854.72,47957.04,direct,
59,1648500420,47976.73,47955.19,47957.04,15.04,721817.85,47967.45,direct,
60,1648500480,47982.87,47967.45,47967.45,7.867,377517.17,47973.56,direct,
61,1648500540,47975.68,47940.29,47973.56,16.06,770413.05,47952.42,direct,
62,1648500600,47958.47,47931.19,47952.42,29.88,1433010.33,47941.04,direct,
63,1648500660,47967.3,47941.04,47941.04,7.627,365881.76,47961.45,direct,
64,1648500720,47966.15,47954.41,47961.45,7.095,340344.14,47958.02,direct,
65,1648500780,48000.2,47958.02,47958.02,32.64,1566410.95,47985.62,direct,
66,1648500840,47987.1,47976.51,47985.62,9.607,461064.75,47983.28,direct,
67,1648500900,47984.0,47978.43,47983.28,5.022,241026.83,47978.43,direct,
68,1648500960,47982.49,47959.93,47978.43,19.41,931307.09,47959.93,direct,
69,1648501020,47963.01,47957.84,47959.93,3.507,168245.16,47959.81,direct,
70,1648501080,47963.85,47947.02,47959.81,14.94,716514.76,47950.19,direct,
71,1648501140,47960.27,47948.54,47950.19,12.47,598093.99,47956.73,direct,
72,1648501200,48016.93,47956.16,47956.73,23.6,1132223.34,48014.74,direct,
73,1648501260,48044.05,48014.74,48014.74,77.32,3714462.9,48039.94,direct,
74,1648501320,48113.26,48039.43,48039.94,80.14,3853194.63,48078.7,direct,
75,1648501380,48109.93,48074.69,48078.7,38.0,1828290.83,48102.57,direct,
76,1648501440,48104.84,48063.53,48102.57,24.53,1179836.05,48065.55,direct,
77,1648501500,48084.16,48061.99,48065.55,28.38,1364402.07,48081.46,direct,
78,1648501560,48090.86,48072.02,48081.46,44.97,2162974.04,48078.15,direct,
79,1648501620,48080.0,48058.07,48078.15,7.806,375267.68,48060.85,direct,
80,1648501680,48069.55,48057.12,48060.85,17.9,860272.99,48067.72,direct,
81,1648501740,48067.72,48057.9,48067.72,10.05,483069.92,48061.34,direct,
82,1648501800,48061.34,48013.71,48061.34,69.51,3338575.78,48021.39,direct,
83,1648501860,48024.06,48006.23,48021.39,35.55,1707476.43,48008.74,direct,
84,1648501920,48019.21,48007.94,48008.74,52.4,2516709.54,48012.41,direct,
85,1648501980,48028.89,48010.84,48012.41,67.92,3262959.42,48026.3,direct,
86,1648502040,48032.04,47987.0,48026.3,45.05,2163434.93,47987.0,direct,
87,1648502100,47987.36,47977.69,47987.0,5.617,269531.69,47982.17,direct,
88,1648502160,47983.55,47926.24,47982.17,36.58,1754011.69,47928.24,direct,
89,1648502220,47929.91,47918.31,47928.24,13.75,658820.56,47926.3,direct,
90,1648502280,47926.3,47892.69,47926.3,30.4,1456171.76,47896.27,direct,
91,1648502340,47920.3,47891.58,47896.27,24.63,1180389.06,47906.5,direct,
92,1648502400,47906.5,47885.25,47906.5,17.83,853645.89,47886.8,direct,
93,1648502460,47926.96,47882.7,47886.8,39.39,1886595.65,47926.4,direct,
94,1648502520,47934.18,47895.86,47926.4,23.62,1131765.93,47895.86,direct,
95,1648502580,47896.87,47885.01,47895.86,11.32,541929.41,47891.33,direct,
96,1648502640,47891.33,47859.31,47891.33,28.19,1349560.08,47870.12,direct,
97,1648502700,47871.39,47852.18,47870.12,71.46,3420142.85,47855.16,direct,
98,1648502760,47855.16,47840.12,47855.16,64.94,3106469.58,47848.59,direct,
99,1648502820,47878.2,47848.29,47848.59,50.31,2408320.04,47875.2,direct,
100,1648502880,47875.2,47819.65,47875.2,80.66,3858480.48,47822.49,direct,
101,1648502940,47822.49,47779.52,47822.49,100.94,4822018.73,47787.94,direct,
102,1648503000,47793.26,47774.09,47787.94,17.27,825027.72,47777.9,direct,
103,1648503060,47779.54,47753.23,47777.9,36.76,1755792.44,47754.59,direct,
104,1648503120,47754.59,47675.07,47754.59,77.07,3677141.58,47682.05,direct,
105,1648503180,47727.85,47681.56,47682.05,17.33,827011.72,47725.4,direct,
106,1648503240,47727.21,47699.55,47725.4,20.27,966880.81,47702.57,direct,
107,1648503300,47702.69,47684.71,47702.57,12.42,592377.39,47687.06,direct,
108,1648503360,47688.7,47661.75,47687.06,18.86,899234.14,47661.81,direct,
109,1648503420,47661.99,47644.84,47661.81,31.24,1488493.23,47646.75,direct,
110,1648503480,47646.75,47519.36,47646.75,105.49,5020173.47,47519.57,direct,
111,1648503540,47521.74,47472.47,47519.57,58.33,2769653.83,47494.52,direct,
112,1648503600,47647.15,47494.52,47494.52,49.08,2336127.11,47591.97,direct,
113,1648503660,47646.79,47581.1,47591.97,12.91,614650.49,47646.59,direct,
114,1648503720,47657.25,47603.8,47646.59,12.68,603827.1,47607.47,direct,
115,1648503780,47632.19,47605.99,47607.47,11.51,548373.19,47606.95,direct,
116,1648503840,47614.92,47600.59,47606.95,17.61,838414.25,47614.1,direct,
117,1648503900,47621.46,47559.93,47614.1,15.82,752934.94,47559.93,direct,
118,1648503960,47565.91,47520.16,47559.93,23.92,1137217.86,47530.46,direct,
119,1648504020,47534.42,47480.41,47530.46,22.74,1080132.82,47480.41,direct,
120,1648504080,47512.15,47480.41,47480.41,11.4,541588.11,47500.6,direct,
