time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1649044800,3507.14,3480.72,3491.2,4273.33,14928445.13,3497.54,direct,
1649048400,3508.26,3491.72,3497.54,3863.09,13527433.97,3506.92,direct,
1649052000,3510.71,3500.19,3506.92,4143.09,14520290.2,3504.01,direct,
1649055600,3511.82,3492.06,3504.01,5058.65,17716702.18,3503.52,direct,
1649059200,3506.09,3485.38,3503.52,9418.9,32906986.26,3494.61,direct,
1649062800,3495.79,3464.24,3494.61,9976.39,34713388.9,3468.97,direct,
1649066400,3482.63,3450.01,3468.97,12911.49,44721845.51,3457.84,direct,
1649070000,3481.51,3452.99,3457.84,5118.63,17759106.6,3480.37,direct,
1649073600,3493.33,3459.56,3480.37,6242.71,21693127.77,3467.55,direct,
1649077200,3486.68,3451.52,3467.55,9914.2,34415462.1,3482.34,direct,
1649080800,3488.57,3443.76,3482.34,11400.26,39517470.79,3447.61,direct,
1649084400,3452.34,3422.48,3447.61,17359.26,59600587.32,3425.4,direct,
1649088000,3455.56,3417.75,3425.4,14283.91,49193801.59,3451.42,direct,
1649091600,3461.17,3421.4,3451.42,11628.95,40034009.87,3438.74,direct,
1649095200,3464.53,3408.47,3438.74,14690.54,50483115.02,3462.4,direct,
1649098800,3501.32,3462.17,3462.4,17843.03,62189392.23,3492.59,direct,
1649102400,3519.26,3475.53,3492.59,16242.99,56873379.19,3509.76,direct,
1649106000,3520.21,3497.88,3509.76,11357.66,39886342.3,3509.92,direct,
1649109600,3546.88,3498.98,3509.92,16706.67,58784064.47,3530.89,direct,
1649113200,3541.11,3516.26,3530.89,13265.23,46787468.78,3520.15,direct,
1649116800,3524.49,3501.65,3520.15,9655.84,33935208.1,3508.02,direct,
1649120400,3523.24,3504.96,3508.02,5269.01,18510221.71,3520.85,direct,
1649124000,3527.64,3511.01,3520.85,3653.17,12857347.8,3516.6,direct,
1649127600,3535.84,3515.62,3516.6,5389.55,18997088.29,3524.46,direct,
1649131200,3534.76,3517.15,3524.46,5466.32,19266122.98,3525.74,direct,
