time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1641186000,47206.32,46792.62,46828.55,625.95,29416757.3,47092.57,direct,
1641189600,47110.7,46900.9,47092.57,308.11,14482402.37,46934.27,direct,
1641193200,47079.42,46873.54,46934.27,437.6,20559605.82,47060.35,direct,
1641196800,47141.6,46939.58,47060.35,391.75,18429402.45,46983.87,direct,
1641200400,47097.96,46785.29,46983.87,579.28,27171859.16,46987.92,direct,
1641204000,47245.15,46987.76,46987.92,609.34,28727943.06,47139.95,direct,
1641207600,47426.11,47139.12,47139.95,460.44,21783163.78,47388.09,direct,
1641211200,47572.23,47188.4,47388.09,639.31,30296820.03,47203.14,direct,
1641214800,47354.54,47141.13,47203.14,577.45,27290180.44,47155.61,direct,
1641218400,47271.08,46792.79,47155.61,1510.9,71028015.82,46867.13,direct,
1641222000,47018.14,46601.8,46867.13,1650.14,77250998.65,46686.12,direct,
1641225600,46768.27,46286.6,46686.12,2647.13,123072910.58,46482.57,direct,
1641229200,46785.43,46423.07,46482.57,1062.27,49502307.48,46593.09,direct,
1641232800,46732.93,46424.58,46593.09,681.16,31716131.83,46472.04,direct,
1641236400,46648.96,46373.25,46472.04,961.32,44723790.34,46383.06,direct,
1641240000,46406.26,45707.55,46383.06,3214.08,147718995.69,45916.25,direct,
1641243600,46256.83,45825.59,45916.25,929.96,42786420.23,45998.44,direct,
1641247200,46434.95,45984.86,45998.44,845.19,39068836.9,46227.14,direct,
1641250800,46566.31,46185.59,46227.14,839.77,38972459.54,46450.79,direct,
1641254400,46531.05,46164.5,46450.79,789.82,36594759.2,46236.22,direct,
1641258000,46393.91,46052.22,46236.22,653.55,30194282.89,46073.61,direct,
1641261600,46257.43,45958.88,46073.61,708.99,32682670.57,46111.13,direct,
1641265200,46371.65,46022.64,46111.13,642.1,29671760.29,46329.95,direct,
1641268800,46408.43,46041.09,46329.95,623.77,28831132.57,46102.66,direct,
1641272400,46296.25,46039.28,46102.66,500.3,23092386.97,46156.42,direct,
1641272400,46296.25,46039.28,46102.66,500.3,23092386.97,46156.42,direct,
1641276000,46397.84,46081.92,46156.42,893.37,41335891.69,46384.65,direct,
1641279600,46577.48,46339.47,46384.65,826.28,38387404.73,46554.02,direct,
1641283200,46675.4,46420.25,46554.02,746.7,34762799.21,46504.55,direct,
1641286800,46603.54,46312.3,46504.55,754.94,35076447.68,46356.85,direct,
1641290400,46750.62,46305.37,46356.85,724.21,33720086.29,46644.92,direct,
1641294000,46764.61,46642.92,46644.92,744.14,34759802.78,46735.82,direct,
1641297600,46758.43,46483.95,46735.82,822.99,38327738.78,46635.41,direct,
1641301200,47070.94,46420.81,46635.41,1859.06,87021761.81,46963.6,direct,
1641304800,47452.8,46837.48,46963.6,2438.51,115042409.8,47346.32,direct,
1641308400,47529.48,46849.7,47346.32,2261.69,106864362.41,46903.28,direct,
1641312000,46910.35,46642.54,46903.28,1502.01,70267557.88,46763.93,direct,
1641315600,46967.97,46529.24,46763.93,709.12,33165402.84,46543.49,direct,
1641319200,46719.46,45604.02,46543.49,3480.89,160263402.25,45734.19,direct,
1641322800,46440.69,45587.91,45734.19,3000.68,138474010.18,46030.44,direct,
1641326400,46417.87,45960.74,46030.44,1286.62,59510336.13,46261.46,direct,
1641330000,46310.79,46018.33,46261.46,946.52,43702794.33,46219.92,direct,
1641333600,46232.34,45968.4,46219.92,965.87,44512123.78,46146.17,direct,
1641337200,46153.02,45754.68,46146.17,1153.78,52968097.79,45824.54,direct,
1641340800,46305.44,45723.93,45824.54,984.34,45305743.86,46270.29,direct,
